cve_id,published_date,last_modified,cvss_v3_score,cvss_v3_severity,cvss_v2_score,cvss_v2_severity,summary,vendor,product,version,references
CVE-2020-2570,2020-01-15T17:15:18.317,2024-11-21T05:25:34.857,5.9,MEDIUM,4.3,MEDIUM,Vulnerability in the MySQL Client product of Oracle MySQL (component: C API). Supported versions that are affected are 5.7.28 and prior and 8.0.18 and prior. Difficult to exploit vulnerability allows unauthenticated attacker with network access via multiple protocols to compromise MySQL Client. Successful attacks of this vulnerability can result in unauthorized ability to cause a hang or frequently repeatable crash (complete DOS) of MySQL Client. CVSS 3.0 Base Score 5.9 (Availability impacts). CVSS Vector: (CVSS:3.0/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:N/A:H).,oracle,mysql,>= 5.7.0 <= 5.7.28,https://security.gentoo.org/glsa/202105-27; https://usn.ubuntu.com/4250-1/; https://www.oracle.com/security-alerts/cpujan2020.html; https://security.gentoo.org/glsa/202105-27; https://usn.ubuntu.com/4250-1/; https://www.oracle.com/security-alerts/cpujan2020.html
CVE-2020-2570,2020-01-15T17:15:18.317,2024-11-21T05:25:34.857,5.9,MEDIUM,4.3,MEDIUM,Vulnerability in the MySQL Client product of Oracle MySQL (component: C API). Supported versions that are affected are 5.7.28 and prior and 8.0.18 and prior. Difficult to exploit vulnerability allows unauthenticated attacker with network access via multiple protocols to compromise MySQL Client. Successful attacks of this vulnerability can result in unauthorized ability to cause a hang or frequently repeatable crash (complete DOS) of MySQL Client. CVSS 3.0 Base Score 5.9 (Availability impacts). CVSS Vector: (CVSS:3.0/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:N/A:H).,oracle,mysql,>= 8.0.0 <= 8.0.18,https://security.gentoo.org/glsa/202105-27; https://usn.ubuntu.com/4250-1/; https://www.oracle.com/security-alerts/cpujan2020.html; https://security.gentoo.org/glsa/202105-27; https://usn.ubuntu.com/4250-1/; https://www.oracle.com/security-alerts/cpujan2020.html
CVE-2020-2572,2020-01-15T17:15:18.457,2024-11-21T05:25:35.293,2.7,LOW,4.0,MEDIUM,"Vulnerability in the MySQL Server product of Oracle MySQL (component: Server: Audit Plugin). Supported versions that are affected are 5.7.28 and prior and 8.0.18 and prior. Easily exploitable vulnerability allows high privileged attacker with network access via multiple protocols to compromise MySQL Server. Successful attacks of this vulnerability can result in unauthorized update, insert or delete access to some of MySQL Server accessible data. CVSS 3.0 Base Score 2.7 (Integrity impacts). CVSS Vector: (CVSS:3.0/AV:N/AC:L/PR:H/UI:N/S:U/C:N/I:L/A:N).",oracle,mysql,>= 5.7.0 <= 5.7.28,https://security.gentoo.org/glsa/202105-27; https://security.netapp.com/advisory/ntap-20200122-0002/; https://usn.ubuntu.com/4250-1/; https://www.oracle.com/security-alerts/cpujan2020.html; https://security.gentoo.org/glsa/202105-27; https://security.netapp.com/advisory/ntap-20200122-0002/; https://usn.ubuntu.com/4250-1/; https://www.oracle.com/security-alerts/cpujan2020.html
CVE-2020-2572,2020-01-15T17:15:18.457,2024-11-21T05:25:35.293,2.7,LOW,4.0,MEDIUM,"Vulnerability in the MySQL Server product of Oracle MySQL (component: Server: Audit Plugin). Supported versions that are affected are 5.7.28 and prior and 8.0.18 and prior. Easily exploitable vulnerability allows high privileged attacker with network access via multiple protocols to compromise MySQL Server. Successful attacks of this vulnerability can result in unauthorized update, insert or delete access to some of MySQL Server accessible data. CVSS 3.0 Base Score 2.7 (Integrity impacts). CVSS Vector: (CVSS:3.0/AV:N/AC:L/PR:H/UI:N/S:U/C:N/I:L/A:N).",oracle,mysql,>= 8.0.0 <= 8.0.18,https://security.gentoo.org/glsa/202105-27; https://security.netapp.com/advisory/ntap-20200122-0002/; https://usn.ubuntu.com/4250-1/; https://www.oracle.com/security-alerts/cpujan2020.html; https://security.gentoo.org/glsa/202105-27; https://security.netapp.com/advisory/ntap-20200122-0002/; https://usn.ubuntu.com/4250-1/; https://www.oracle.com/security-alerts/cpujan2020.html
CVE-2020-2573,2020-01-15T17:15:18.520,2024-11-21T05:25:35.537,5.9,MEDIUM,4.3,MEDIUM,Vulnerability in the MySQL Client product of Oracle MySQL (component: C API). Supported versions that are affected are 5.7.28 and prior and 8.0.18 and prior. Difficult to exploit vulnerability allows unauthenticated attacker with network access via multiple protocols to compromise MySQL Client. Successful attacks of this vulnerability can result in unauthorized ability to cause a hang or frequently repeatable crash (complete DOS) of MySQL Client. CVSS 3.0 Base Score 5.9 (Availability impacts). CVSS Vector: (CVSS:3.0/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:N/A:H).,oracle,mysql,>= 5.7.0 <= 5.7.28,https://security.gentoo.org/glsa/202105-27; https://security.netapp.com/advisory/ntap-20200122-0002/; https://usn.ubuntu.com/4250-1/; https://www.oracle.com/security-alerts/cpujan2020.html; https://security.gentoo.org/glsa/202105-27; https://security.netapp.com/advisory/ntap-20200122-0002/; https://usn.ubuntu.com/4250-1/; https://www.oracle.com/security-alerts/cpujan2020.html
CVE-2020-2573,2020-01-15T17:15:18.520,2024-11-21T05:25:35.537,5.9,MEDIUM,4.3,MEDIUM,Vulnerability in the MySQL Client product of Oracle MySQL (component: C API). Supported versions that are affected are 5.7.28 and prior and 8.0.18 and prior. Difficult to exploit vulnerability allows unauthenticated attacker with network access via multiple protocols to compromise MySQL Client. Successful attacks of this vulnerability can result in unauthorized ability to cause a hang or frequently repeatable crash (complete DOS) of MySQL Client. CVSS 3.0 Base Score 5.9 (Availability impacts). CVSS Vector: (CVSS:3.0/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:N/A:H).,oracle,mysql,>= 8.0.0 <= 8.0.18,https://security.gentoo.org/glsa/202105-27; https://security.netapp.com/advisory/ntap-20200122-0002/; https://usn.ubuntu.com/4250-1/; https://www.oracle.com/security-alerts/cpujan2020.html; https://security.gentoo.org/glsa/202105-27; https://security.netapp.com/advisory/ntap-20200122-0002/; https://usn.ubuntu.com/4250-1/; https://www.oracle.com/security-alerts/cpujan2020.html
CVE-2020-2574,2020-01-15T17:15:18.583,2024-11-21T05:25:35.763,5.9,MEDIUM,4.3,MEDIUM,"Vulnerability in the MySQL Client product of Oracle MySQL (component: C API). Supported versions that are affected are 5.6.46 and prior, 5.7.28 and prior and 8.0.18 and prior. Difficult to exploit vulnerability allows unauthenticated attacker with network access via multiple protocols to compromise MySQL Client. Successful attacks of this vulnerability can result in unauthorized ability to cause a hang or frequently repeatable crash (complete DOS) of MySQL Client. CVSS 3.0 Base Score 5.9 (Availability impacts). CVSS Vector: (CVSS:3.0/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:N/A:H).",oracle,mysql,>= 5.6.0 <= 5.6.46,http://lists.opensuse.org/opensuse-security-announce/2020-03/msg00007.html; http://www.openwall.com/lists/oss-security/2020/09/29/1; https://security.gentoo.org/glsa/202105-27; https://security.netapp.com/advisory/ntap-20200122-0002/; https://usn.ubuntu.com/4250-1/; https://usn.ubuntu.com/4250-2/; https://www.oracle.com/security-alerts/cpujan2020.html; http://lists.opensuse.org/opensuse-security-announce/2020-03/msg00007.html; http://www.openwall.com/lists/oss-security/2020/09/29/1; https://security.gentoo.org/glsa/202105-27; https://security.netapp.com/advisory/ntap-20200122-0002/; https://usn.ubuntu.com/4250-1/; https://usn.ubuntu.com/4250-2/; https://www.oracle.com/security-alerts/cpujan2020.html
CVE-2020-2574,2020-01-15T17:15:18.583,2024-11-21T05:25:35.763,5.9,MEDIUM,4.3,MEDIUM,"Vulnerability in the MySQL Client product of Oracle MySQL (component: C API). Supported versions that are affected are 5.6.46 and prior, 5.7.28 and prior and 8.0.18 and prior. Difficult to exploit vulnerability allows unauthenticated attacker with network access via multiple protocols to compromise MySQL Client. Successful attacks of this vulnerability can result in unauthorized ability to cause a hang or frequently repeatable crash (complete DOS) of MySQL Client. CVSS 3.0 Base Score 5.9 (Availability impacts). CVSS Vector: (CVSS:3.0/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:N/A:H).",oracle,mysql,>= 5.7.0 <= 5.7.28,http://lists.opensuse.org/opensuse-security-announce/2020-03/msg00007.html; http://www.openwall.com/lists/oss-security/2020/09/29/1; https://security.gentoo.org/glsa/202105-27; https://security.netapp.com/advisory/ntap-20200122-0002/; https://usn.ubuntu.com/4250-1/; https://usn.ubuntu.com/4250-2/; https://www.oracle.com/security-alerts/cpujan2020.html; http://lists.opensuse.org/opensuse-security-announce/2020-03/msg00007.html; http://www.openwall.com/lists/oss-security/2020/09/29/1; https://security.gentoo.org/glsa/202105-27; https://security.netapp.com/advisory/ntap-20200122-0002/; https://usn.ubuntu.com/4250-1/; https://usn.ubuntu.com/4250-2/; https://www.oracle.com/security-alerts/cpujan2020.html
CVE-2020-2574,2020-01-15T17:15:18.583,2024-11-21T05:25:35.763,5.9,MEDIUM,4.3,MEDIUM,"Vulnerability in the MySQL Client product of Oracle MySQL (component: C API). Supported versions that are affected are 5.6.46 and prior, 5.7.28 and prior and 8.0.18 and prior. Difficult to exploit vulnerability allows unauthenticated attacker with network access via multiple protocols to compromise MySQL Client. Successful attacks of this vulnerability can result in unauthorized ability to cause a hang or frequently repeatable crash (complete DOS) of MySQL Client. CVSS 3.0 Base Score 5.9 (Availability impacts). CVSS Vector: (CVSS:3.0/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:N/A:H).",oracle,mysql,>= 8.0.0 <= 8.0.18,http://lists.opensuse.org/opensuse-security-announce/2020-03/msg00007.html; http://www.openwall.com/lists/oss-security/2020/09/29/1; https://security.gentoo.org/glsa/202105-27; https://security.netapp.com/advisory/ntap-20200122-0002/; https://usn.ubuntu.com/4250-1/; https://usn.ubuntu.com/4250-2/; https://www.oracle.com/security-alerts/cpujan2020.html; http://lists.opensuse.org/opensuse-security-announce/2020-03/msg00007.html; http://www.openwall.com/lists/oss-security/2020/09/29/1; https://security.gentoo.org/glsa/202105-27; https://security.netapp.com/advisory/ntap-20200122-0002/; https://usn.ubuntu.com/4250-1/; https://usn.ubuntu.com/4250-2/; https://www.oracle.com/security-alerts/cpujan2020.html
CVE-2020-2577,2020-01-15T17:15:18.707,2024-11-21T05:25:36.433,4.9,MEDIUM,4.0,MEDIUM,Vulnerability in the MySQL Server product of Oracle MySQL (component: InnoDB). Supported versions that are affected are 5.7.28 and prior and 8.0.18 and prior. Easily exploitable vulnerability allows high privileged attacker with network access via multiple protocols to compromise MySQL Server. Successful attacks of this vulnerability can result in unauthorized ability to cause a hang or frequently repeatable crash (complete DOS) of MySQL Server. CVSS 3.0 Base Score 4.9 (Availability impacts). CVSS Vector: (CVSS:3.0/AV:N/AC:L/PR:H/UI:N/S:U/C:N/I:N/A:H).,oracle,mysql,>= 5.7.0 <= 5.7.28,https://security.gentoo.org/glsa/202105-27; https://security.netapp.com/advisory/ntap-20200122-0002/; https://usn.ubuntu.com/4250-1/; https://www.oracle.com/security-alerts/cpujan2020.html; https://security.gentoo.org/glsa/202105-27; https://security.netapp.com/advisory/ntap-20200122-0002/; https://usn.ubuntu.com/4250-1/; https://www.oracle.com/security-alerts/cpujan2020.html
